timestamp,callsign,aircraft_code,airline_name,airline_code,airline_icao,altitude_ft,speed_knots,origin_icao,origin_name,origin_country,destination_icao,destination_name,destination_country,route_description
2025-04-09T03:57:06.604843,BAW34,B789,British Airways,BA,BAW,37975,455,WMKK,Kuala Lumpur International Airport,Malaysia,EGLL,London Heathrow Airport,United Kingdom,WMKK (Kuala Lumpur International Airport) → EGLL (London Heathrow Airport)
2025-04-09T03:57:06.604843,CPA254,B77W,Cathay Pacific,CX,CPA,33000,510,EGLL,London Heathrow Airport,United Kingdom,VHHH,Hong Kong International Airport,Hong Kong,EGLL (London Heathrow Airport) → VHHH (Hong Kong International Airport)
2025-04-09T03:57:06.604843,DLH613,A20N,Lufthansa,LH,DLH,36025,406,UBBB,Baku Heydar Aliyev International Airport,Azerbaijan,EDDF,Frankfurt Airport,Germany,UBBB (Baku Heydar Aliyev International Airport) → EDDF (Frankfurt Airport)
2025-04-09T03:57:06.604843,THY163,A359,Turkish Airlines,TK,THY,27125,372,VVTS,Ho Chi Minh City International Airport,Vietnam,LTFM,Istanbul Airport,Turkey,VVTS (Ho Chi Minh City International Airport) → LTFM (Istanbul Airport)
2025-04-09T03:57:06.604843,THY7JK,A21N,Turkish Airlines,TK,THY,28375,381,ORER,Erbil International Airport,Iraq,LTFM,Istanbul Airport,Turkey,ORER (Erbil International Airport) → LTFM (Istanbul Airport)
2025-04-09T03:57:06.604843,AFR185,A359,Air France,AF,AFR,40000,830,VHHH,Hong Kong International Airport,Hong Kong,LFPG,Paris Charles de Gaulle Airport,France,VHHH (Hong Kong International Airport) → LFPG (Paris Charles de Gaulle Airport)
2025-04-09T03:57:06.604843,AFR655,B77W,Air France,AF,AFR,34000,448,OMDB,Dubai International Airport,United Arab Emirates,LFPG,Paris Charles de Gaulle Airport,France,OMDB (Dubai International Airport) → LFPG (Paris Charles de Gaulle Airport)
2025-04-09T03:57:06.604843,BAW125,B789,British Airways,BA,BAW,38975,510,EGLL,London Heathrow Airport,United Kingdom,OBBI,Bahrain International Airport,Bahrain,EGLL (London Heathrow Airport) → OBBI (Bahrain International Airport)
2025-04-09T03:57:06.604843,BAW105,B772,British Airways,BA,BAW,39000,516,EGLL,London Heathrow Airport,United Kingdom,OMDB,Dubai International Airport,United Arab Emirates,EGLL (London Heathrow Airport) → OMDB (Dubai International Airport)
2025-04-09T03:57:06.604843,AAL293,B789,American Airlines,AA,AAL,35975,448,VIDP,Delhi Indira Gandhi International Airport,India,KJFK,New York John F. Kennedy International Airport,United States,VIDP (Delhi Indira Gandhi International Airport) → KJFK (New York John F. Kennedy International Airport)
